Match_Id,Batsman,Team,Runs,Balls_Faced
1,BB McCullum,Kolkata Knight Riders,158,73
1,RT Ponting,Kolkata Knight Riders,20,20
1,P Kumar,Royal Challengers Bangalore,18,15
1,DJ Hussey,Kolkata Knight Riders,12,12
1,SC Ganguly,Kolkata Knight Riders,10,12
1,AA Noffke,Royal Challengers Bangalore,9,10
1,JH Kallis,Royal Challengers Bangalore,8,7
1,MV Boucher,Royal Challengers Bangalore,7,9
1,W Jaffer,Royal Challengers Bangalore,6,16
1,CL White,Royal Challengers Bangalore,6,10
1,Mohammad Hafeez,Kolkata Knight Riders,5,3
1,Z Khan,Royal Challengers Bangalore,3,8
1,SB Joshi,Royal Challengers Bangalore,3,6
1,R Dravid,Royal Challengers Bangalore,2,3
1,V Kohli,Royal Challengers Bangalore,1,5
1,B Akhil,Royal Challengers Bangalore,0,2
2,MEK Hussey,Chennai Super Kings,116,54
2,JR Hopes,Kings XI Punjab,71,33
2,KC Sangakkara,Kings XI Punjab,54,33
2,SK Raina,Chennai Super Kings,32,13
2,S Badrinath,Chennai Super Kings,31,14
2,ML Hayden,Chennai Super Kings,25,17
2,K Goel,Kings XI Punjab,24,19
2,Yuvraj Singh,Kings XI Punjab,23,13
2,SM Katich,Kings XI Punjab,21,17
2,PA Patel,Chennai Super Kings,15,10
2,JDP Oram,Chennai Super Kings,13,10
2,IK Pathan,Kings XI Punjab,3,5
2,MS Dhoni,Chennai Super Kings,2,3
3,G Gambhir,Delhi Daredevils,58,46
3,S Dhawan,Delhi Daredevils,52,41
3,RA Jadeja,Rajasthan Royals,29,23
3,D Salunkhe,Rajasthan Royals,26,20
3,SR Watson,Rajasthan Royals,21,15
3,SK Warne,Rajasthan Royals,14,13
3,V Sehwag,Delhi Daredevils,12,4
3,YK Pathan,Rajasthan Royals,10,5
3,M Kaif,Rajasthan Royals,9,19
3,T Kohli,Rajasthan Royals,7,12
3,SK Trivedi,Rajasthan Royals,3,7
3,M Rawat,Rajasthan Royals,2,4
3,DS Lehmann,Rajasthan Royals,1,2
4,RV Uthappa,Mumbai Indians,48,38
4,MV Boucher,Royal Challengers Bangalore,39,19
4,R Dravid,Royal Challengers Bangalore,32,33
4,ST Jayasuriya,Mumbai Indians,29,16
4,SM Pollock,Mumbai Indians,28,12
4,JH Kallis,Royal Challengers Bangalore,25,24
4,LRPL Taylor,Royal Challengers Bangalore,23,12
4,V Kohli,Royal Challengers Bangalore,23,14
4,AM Nayar,Mumbai Indians,20,14
4,PR Shah,Mumbai Indians,19,23
4,S Chanderpaul,Royal Challengers Bangalore,16,11
4,L Ronchi,Mumbai Indians,8,10
4,B Akhil,Royal Challengers Bangalore,3,5
4,Harbhajan Singh,Mumbai Indians,2,2
4,DJ Thornely,Mumbai Indians,0,5
5,DJ Hussey,Kolkata Knight Riders,38,43
5,A Symonds,Deccan Chargers,32,39
5,AC Gilchrist,Deccan Chargers,23,22
5,Y Venugopal Rao,Deccan Chargers,14,14
5,SB Bangar,Deccan Chargers,14,10
5,SC Ganguly,Kolkata Knight Riders,14,30
5,Mohammad Hafeez,Kolkata Knight Riders,13,13
5,AS Yadav,Deccan Chargers,10,10
5,WP Saha,Kolkata Knight Riders,10,17
5,SB Styris,Deccan Chargers,6,7
5,BB McCullum,Kolkata Knight Riders,5,5
5,LR Shukla,Kolkata Knight Riders,4,6
5,RP Singh,Deccan Chargers,1,2
5,VVS Laxman,Deccan Chargers,0,6
5,RG Sharma,Deccan Chargers,0,3
5,WPUJC Vaas,Deccan Chargers,0,1
5,RT Ponting,Kolkata Knight Riders,0,1
6,SR Watson,Rajasthan Royals,76,49
6,Yuvraj Singh,Kings XI Punjab,57,34
6,RA Jadeja,Rajasthan Royals,36,25
6,K Goel,Kings XI Punjab,26,21
6,PP Chawla,Kings XI Punjab,24,11
6,KC Sangakkara,Kings XI Punjab,20,8
6,DS Lehmann,Rajasthan Royals,17,16
6,JR Hopes,Kings XI Punjab,16,16
6,Kamran Akmal,Rajasthan Royals,15,10
6,IK Pathan,Kings XI Punjab,12,19
6,YK Pathan,Rajasthan Royals,7,5
6,M Kaif,Rajasthan Royals,5,8
6,S Sohal,Kings XI Punjab,4,4
6,DPMD Jayawardene,Kings XI Punjab,2,4
6,WA Mota,Kings XI Punjab,1,1
6,B Lee,Kings XI Punjab,0,2
7,V Sehwag,Delhi Daredevils,94,41
7,RG Sharma,Deccan Chargers,66,36
7,S Dhawan,Delhi Daredevils,25,28
7,Y Venugopal Rao,Deccan Chargers,14,22
7,A Symonds,Deccan Chargers,12,13
7,AS Yadav,Deccan Chargers,12,7
7,WPUJC Vaas,Deccan Chargers,12,6
7,G Gambhir,Delhi Daredevils,12,9
7,AC Gilchrist,Deccan Chargers,8,9
7,SB Bangar,Deccan Chargers,8,14
7,VVS Laxman,Deccan Chargers,2,6
7,Shahid Afridi,Deccan Chargers,2,7
7,RP Singh,Deccan Chargers,1,1
8,ML Hayden,Chennai Super Kings,81,46
8,SK Raina,Chennai Super Kings,53,37
8,AM Nayar,Mumbai Indians,45,20
8,RV Uthappa,Mumbai Indians,43,36
8,MS Dhoni,Chennai Super Kings,30,16
8,Harbhajan Singh,Mumbai Indians,28,14
8,DJ Bravo,Mumbai Indians,24,16
8,ST Jayasuriya,Mumbai Indians,20,11
8,SM Pollock,Mumbai Indians,17,15
8,PA Patel,Chennai Super Kings,14,11
8,MA Khote,Mumbai Indians,9,5
8,MEK Hussey,Chennai Super Kings,5,9
8,JDP Oram,Chennai Super Kings,5,2
8,S Badrinath,Chennai Super Kings,2,1
8,L Ronchi,Mumbai Indians,2,3
8,A Nehra,Mumbai Indians,1,2
9,A Symonds,Deccan Chargers,117,53
9,GC Smith,Rajasthan Royals,71,45
9,YK Pathan,Rajasthan Royals,61,28
9,RG Sharma,Deccan Chargers,36,30
9,M Kaif,Rajasthan Royals,34,16
9,SK Warne,Rajasthan Royals,22,9
9,VVS Laxman,Deccan Chargers,16,16
9,AS Yadav,Deccan Chargers,16,9
9,AC Gilchrist,Deccan Chargers,13,9
9,Kamran Akmal,Rajasthan Royals,12,9
9,Shahid Afridi,Deccan Chargers,10,4
9,SR Watson,Rajasthan Royals,4,6
9,Pankaj Singh,Rajasthan Royals,4,3
9,RA Jadeja,Rajasthan Royals,1,3
9,D Salunkhe,Rajasthan Royals,1,1
10,KC Sangakkara,Kings XI Punjab,94,56
10,DJ Bravo,Mumbai Indians,23,21
10,SM Pollock,Mumbai Indians,22,21
10,RV Uthappa,Mumbai Indians,21,18
10,K Goel,Kings XI Punjab,18,21
10,Yuvraj Singh,Kings XI Punjab,18,9
10,SS Tiwary,Mumbai Indians,17,10
10,B Lee,Kings XI Punjab,16,8
10,DPMD Jayawardene,Kings XI Punjab,12,7
10,L Ronchi,Mumbai Indians,11,8
10,MA Khote,Mumbai Indians,8,7
10,RR Sarwan,Kings XI Punjab,7,9
10,IK Pathan,Kings XI Punjab,6,3
10,VRV Singh,Kings XI Punjab,4,2
10,AM Nayar,Mumbai Indians,2,3
10,DS Kulkarni,Mumbai Indians,2,16
10,A Nehra,Mumbai Indians,2,10
